 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  2; 34; 15.0000;335.0000;    45;     0;     0; 26600; 26645;0.004677;0.000000;0.004677;0.001689;1.000000;0.001689;1.000000;1.000000;1.000000;0.000790;0.000790;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.000068;0.000068
 All;  2; 35; 15.0000;345.0000;    88;     0;     0; 26553; 26641;0.004677;0.000000;0.004677;0.003303;1.000000;0.003303;1.000000;1.000000;1.000000;0.001545;0.001545;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.000133;0.000133
 All;  2; 36; 15.0000;355.0000;   191;     0;     0; 26437; 26628;0.004677;0.000000;0.004677;0.007173;1.000000;0.007173;1.000000;1.000000;1.000000;0.003355;0.003355;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.000289;0.000289
 All;  3;  1; 25.0000;  5.0000;   250;     0;     0; 22842; 23092;0.004388;0.000000;0.004388;0.010826;1.000000;0.010826;1.000000;1.000000;1.000000;0.004751;0.004751;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000667;0.000667
 All;  3;  2; 25.0000; 15.0000;    69;     0;     0; 23024; 23093;0.004388;0.000000;0.004388;0.002988;1.000000;0.002988;1.000000;1.000000;1.000000;0.001311;0.001311;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.000184;0.000184
 All;  3;  3; 25.0000; 25.0000;   688;     0;     0; 22403; 23091;0.004388;0.000000;0.004388;0.029795;1.000000;0.029795;1.000000;1.000000;1.000000;0.013075;0.013075;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.001836;0.001836
 All;  3;  4; 25.0000; 35.0000; 16713;     0;     0;  6360; 23073;0.004388;0.000000;0.004388;0.724353;1.000000;0.724353;1.000000;1.000000;1.000000;0.317870;0.317870;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.044644;0.044644
 All;  3;  5; 25.0000; 45.0000; 23110;     0;     0;     0; 23110;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632
 All;  3;  6; 25.0000; 55.0000; 23093;     0;     0;     0; 23093;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632
 All;  3;  7; 25.0000; 65.0000; 23092;     0;     0;     0; 23092;0.004388;0.000000;0.004388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.438833;0.438833;0.003695;0.002924;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632;0.000000;0.061632;0.061632
